"shop_id","name","address","is_deleted","deleted_at"
"052e1498-7414-41c2-ba67-8fdb8727e86f","Cosmetic",,"0",
"77f50d23-4f34-4c8e-b695-5d545bcc889e","Comprar en chile","Av. Libertador Bernardo OHiggins 980, Local 103 ","0",
"8a324044-9b37-4766-bde4-1b5af74c3f90","Comprar en Chile","Av. Libertador Bernardo OHiggins 980, Local 103 ","0",
"8b4bb658-7f44-45cd-82c3-52b932816713","Mz Perfumes","Valdivia 485, Galería Colón local 15 Los Ángeles","0",
